18/03/2016 11:40:09 | DEBUG | pyforms | __init__ | log pyforms is now set up
18/03/2016 12:06:02 | DEBUG | pyforms | __init__ | log pyforms is now set up
18/03/2016 12:06:29 | DEBUG | pyforms | __init__ | log pyforms is now set up
18/03/2016 12:06:43 | DEBUG | pyforms | __init__ | log pyforms is now set up
18/03/2016 12:06:44 | DEBUG | pyforms | ControlPlayer | Open video with 60.0 fps
18/03/2016 12:06:54 | DEBUG | pyforms | ControlPlayer | Open video with 60.0 fps
18/03/2016 12:19:56 | DEBUG | pyforms | __init__ | log pyforms is now set up
18/03/2016 12:19:56 | DEBUG | pyforms | ControlPlayer | Open video with 60.0 fps
18/03/2016 12:20:01 | DEBUG | pyforms | __init__ | log pyforms is now set up
18/03/2016 12:20:02 | DEBUG | pyforms | ControlPlayer | Open video with 60.0 fps
18/03/2016 12:20:05 | DEBUG | pyforms | ControlPlayer | Open video with 60.0 fps
18/03/2016 12:21:09 | DEBUG | pyforms | __init__ | log pyforms is now set up
18/03/2016 12:21:10 | DEBUG | pyforms | ControlPlayer | Open video with 60.0 fps
18/03/2016 12:21:13 | DEBUG | pyforms | ControlPlayer | Open video with 60.0 fps
18/03/2016 12:21:44 | DEBUG | pyforms | __init__ | log pyforms is now set up
18/03/2016 12:21:45 | DEBUG | pyforms | ControlPlayer | Open video with 60.0 fps
18/03/2016 12:21:47 | DEBUG | pyforms | ControlPlayer | Open video with 60.0 fps
18/03/2016 12:33:08 | DEBUG | pyforms | __init__ | log pyforms is now set up
18/03/2016 12:33:09 | DEBUG | pyforms | ControlPlayer | Open video with 60.0 fps
18/03/2016 12:33:11 | DEBUG | pyforms | __init__ | log pyforms is now set up
18/03/2016 12:33:12 | DEBUG | pyforms | ControlPlayer | Open video with 60.0 fps
18/03/2016 12:33:14 | DEBUG | pyforms | __init__ | log pyforms is now set up
18/03/2016 12:33:15 | DEBUG | pyforms | ControlPlayer | Open video with 60.0 fps
18/03/2016 12:33:21 | DEBUG | pyforms | __init__ | log pyforms is now set up
18/03/2016 12:33:22 | DEBUG | pyforms | ControlPlayer | Open video with 60.0 fps
18/03/2016 12:33:27 | DEBUG | pyforms | __init__ | log pyforms is now set up
18/03/2016 12:33:27 | DEBUG | pyforms | ControlPlayer | Open video with 60.0 fps
18/03/2016 12:34:54 | DEBUG | pyforms | __init__ | log pyforms is now set up
18/03/2016 12:34:55 | DEBUG | pyforms | ControlPlayer | Open video with 60.0 fps
18/03/2016 12:35:09 | DEBUG | pyforms | ControlPlayer | Open video with 60.0 fps
18/03/2016 12:38:42 | DEBUG | pyforms | __init__ | log pyforms is now set up
18/03/2016 12:38:43 | DEBUG | pyforms | ControlPlayer | Open video with 60.0 fps
18/03/2016 12:38:44 | DEBUG | pyforms | ControlPlayer | Open video with 60.0 fps
18/03/2016 12:39:52 | DEBUG | pyforms | __init__ | log pyforms is now set up
18/03/2016 12:39:53 | DEBUG | pyforms | ControlPlayer | Open video with 60.0 fps
